 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Linear-modal-0.002
 FUNCTION  disp-z-1:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-z-1  moment-0-0  moment-0-1  moment-1-1
       0.64     0.00149  17829.2545  -23772.339   35658.509
      0.642      0.0014  16756.9491  -22342.599   33513.898
      0.644     0.00126  15068.2753  -20091.034  30136.5507
      0.646     0.00108  12922.8834  -17230.511  25845.7667
      0.648   8.747E-04  10496.5896  -13995.453  20993.1792
       0.65   6.645E-04  7973.55723   -10631.41  15947.1145
      0.652   4.615E-04   5538.2814   -7384.375  11076.5628
      0.654   2.806E-04  3367.72569   -4490.301  6735.45138
      0.656   1.353E-04  1623.94068  -2165.2542  3247.88137
      0.658   3.729E-05   447.46976  -596.62634   894.93951
       0.66  -4.016E-06   -48.19399    64.25865   -96.38798
      0.662   1.816E-05   217.88293  -290.51057   435.76586
      0.664   1.073E-04  1287.63517  -1716.8469  2575.27035
      0.666   2.639E-04  3166.68962   -4222.253  6333.37924
      0.668   4.855E-04  5826.09245   -7768.123  11652.1849
       0.67   7.670E-04   9204.2531  -12272.337  18408.5062
      0.672      0.0011  13210.2378   -17613.65  26420.4757
      0.674     0.00148   17728.248  -23637.664   35456.496
      0.676     0.00189  22623.0633  -30164.084   45246.127
      0.678     0.00231  27746.1961   -36994.93   55492.392
       0.68     0.00275   32942.489   -43923.32   65884.978
      0.682     0.00317   38054.515   -50739.35   76109.031
      0.684     0.00358   42922.363   -57229.82   85844.726
      0.686     0.00395   47397.489   -63196.65   94794.977
      0.688     0.00428   51351.129   -68468.17  102702.258
       0.69     0.00456   54679.375   -72905.83  109358.751
      0.692     0.00478   57307.089   -76409.45  114614.179
      0.694     0.00493   59190.511   -78920.68  118381.022
      0.696     0.00503   60318.477   -80424.64  120636.954
      0.698     0.00506   60712.227   -80949.64  121424.454
        0.7     0.00504   60423.828    -80565.1  120847.657
      0.702     0.00496   59526.398   -79368.53  119052.796
      0.704     0.00484    58089.96   -77453.28  116179.919
      0.706     0.00468   56199.191   -74932.25  112398.381
      0.708      0.0045   53956.375   -71941.83  107912.749
       0.71     0.00429   51476.684   -68635.58  102953.367
      0.712     0.00407    48883.01   -65177.35    97766.02
      0.714     0.00386   46300.572    -61734.1   92601.145
      0.716     0.00365   43851.534   -58468.71   87703.069
      0.718     0.00347   41649.867   -55533.16   83299.734
       0.72     0.00332   39796.662   -53062.22   79593.324
      0.722      0.0032    38357.48   -51143.31    76714.96
      0.724     0.00311   37304.996   -49739.99   74609.991
      0.726     0.00305   36577.556   -48770.07   73155.112
      0.728     0.00301   36100.934   -48134.58   72201.868
       0.73     0.00298   35791.749   -47722.33   71583.498
      0.732     0.00296   35561.206   -47414.94   71122.411
      0.734     0.00294   35318.985   -47091.98   70637.969
      0.736     0.00291   34977.122   -46636.16   69954.243
      0.738     0.00287   34453.705   -45938.27   68907.409
       0.74     0.00281   33676.236   -44901.65   67352.473
      0.742     0.00272   32617.589   -43490.12   65235.178
      0.744     0.00262  31394.4333   -41859.24   62788.867
      0.746     0.00251  30160.7631   -40214.35   60321.526
      0.748     0.00242  29067.8521   -38757.14   58135.704
       0.75     0.00235  28257.8675   -37677.16   56515.735
      0.752     0.00232  27858.0039   -37144.01   55716.008
      0.754     0.00233  27975.3748    -37300.5    55950.75
      0.756     0.00239  28692.8634   -38257.15   57385.727
      0.758     0.00251  30066.0923   -40088.12   60132.185
       0.76     0.00268   32121.617   -42828.82   64243.233
      0.762      0.0029   34837.774   -46450.37   69675.548
      0.764     0.00317   38091.307   -50788.41   76182.615
      0.766     0.00348   41720.191   -55626.92   83440.382
      0.768      0.0038   45549.745   -60732.99    91099.49
       0.77     0.00412   49400.339   -65867.12   98800.678
      0.772     0.00442   53095.138   -70793.52  106190.275
      0.774     0.00471   56467.578    -75290.1  112935.156
      0.776     0.00495   59368.253   -79157.67  118736.506
      0.778     0.00514   61670.916   -82227.89  123341.832
       0.78     0.00527   63277.387   -84369.85  126554.774
      0.782     0.00534   64114.218   -85485.62  128228.437
      0.784     0.00534   64114.725    -85486.3   128229.45
      0.786     0.00527   63242.349   -84323.13  126484.698
      0.788     0.00512   61498.458   -81997.94  122996.915
       0.79     0.00491   58921.502     -78562.  117843.004
      0.792     0.00463   55584.623   -74112.83  111169.245
      0.794      0.0043   51591.816   -68789.09  103183.633
      0.796     0.00392   47072.875   -62763.83    94145.75
      0.798     0.00351   42177.326   -56236.43   84354.652
        0.8     0.00309    37067.66   -49423.55    74135.32
      0.802     0.00266     31909.8    -42546.4     63819.6
      0.804     0.00224  26858.9995     -35812.   53717.999
      0.806     0.00184  22060.4374  -29413.917   44120.875
      0.808     0.00147   17645.565   -23527.42    35291.13
       0.81     0.00114  13726.7886  -18302.385  27453.5772
      0.812   8.661E-04  10393.0777  -13857.437  20786.1555
      0.814   6.422E-04  7706.65798  -10275.544   15413.316
      0.816   4.751E-04  5700.90871   -7601.212  11401.8174
      0.818   3.650E-04  4379.53547   -5839.381  8759.07093
       0.82   3.098E-04  3717.02273    -4956.03  7434.04547
      0.822   3.049E-04  3659.08875   -4878.785  7318.17751
      0.824   3.435E-04  4121.92678   -5495.902  8243.85355
      0.826   4.167E-04  5000.05624   -6666.742  10000.1125
      0.828   5.144E-04  6172.48023   -8229.974  12344.9605
       0.83   6.257E-04  7508.15761  -10010.877  15016.3152
      0.832   7.393E-04  8871.78988  -11829.053  17743.5798
      0.834   8.441E-04  10129.6708  -13506.228  20259.3416
      0.836   9.296E-04  11155.3475  -14873.797  22310.6949
      0.838   9.862E-04  11834.8564  -15779.809  23669.7129
       0.84     0.00101    12071.32  -16095.093    24142.64
